acc,accept_status,accuracy,average_response_time,avg_rt,background,canvas_backend,checkbox_status,correct,correct_consent_sketchpad,correct_instruction_sketchpad,correct_new_keyboard_response,correct_response,count_age_form,count_checkbox_security_form,count_consent_sketchpad,count_country_logger,count_eurozone_form,count_eurozone_logger,count_experiment,count_fixation_dots,count_getting_started,count_goodbye_sketchpad,count_images_sketchpad,count_information_display_sketchpad,count_instruction_sketchpad,count_new_1_form_base,count_new_1_form_text_input,count_new_1_sketchpad,count_new_2_logger,count_new_4_form_multiple_choice,count_new_form_base,count_new_form_consent,count_new_form_multiple_choice,count_new_form_text_display,count_new_form_text_input,count_new_inline_script,count_new_keyboard_response,count_new_loop,count_new_sequence,count_occupation_form,count_occupation_logger,count_open_security_input_form,count_personal_data_logger,count_response_logger,count_schooling_level_form,count_schooling_logger,count_security_feature_logger,count_welcome,datetime,denomination,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,logfile,note_type,opensesame_codename,opensesame_version,reason,response,response_consent_sketchpad,response_goodbye_sketchpad,response_information_display_sketchpad,response_instruction_sketchpad,response_new_1_sketchpad,response_new_keyboard_response,response_time,response_time_consent_sketchpad,response_time_goodbye_sketchpad,response_time_information_display_sketchpad,response_time_instruction_sketchpad,response_time_new_1_sketchpad,response_time_new_keyboard_response,response_time_welcome,response_welcome,round_decimals,show,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_age_form,time_checkbox_security_form,time_consent_sketchpad,time_country_logger,time_eurozone_form,time_eurozone_logger,time_experiment,time_fixation_dots,time_getting_started,time_goodbye_sketchpad,time_images_sketchpad,time_information_display_sketchpad,time_instruction_sketchpad,time_new_1_form_base,time_new_1_form_text_input,time_new_1_sketchpad,time_new_2_logger,time_new_4_form_multiple_choice,time_new_form_base,time_new_form_consent,time_new_form_multiple_choice,time_new_form_text_display,time_new_form_text_input,time_new_inline_script,time_new_keyboard_response,time_new_loop,time_new_sequence,time_occupation_form,time_occupation_logger,time_open_security_input_form,time_personal_data_logger,time_response_logger,time_schooling_level_form,time_schooling_logger,time_security_feature_logger,time_welcome,title,total_correct,total_response_time,total_responses,width
50,NA,50,4804,4804,#3d3846,psycho,NA,0,undefined,undefined,0,right,0,0,0,0,0,0,0,5,NA,0,5,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,5,0,5,0,0,0,0,5,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo,left,return,NA,return,return,NA,left,7922.349,3482.3355,NA,4295.5865,19551.3157,NA,7922.349,NA,NA,2,real_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,115411.4982,NA,NA,115918.5812,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,115918.6755,90726.7768,115406.9859,NA,86414.6672,NA,54913.4506,123841.482,NA,50088.4681,NA,NA,New experiment,3,28826.4775,6,1024
42,NA,42,4604,4604,#3d3846,psycho,NA,0,undefined,undefined,0,right,0,0,0,0,0,0,0,6,NA,0,6,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,6,0,6,0,0,0,0,6,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,genuine,left,return,NA,return,return,NA,left,3405.0474,3482.3355,NA,4295.5865,19551.3157,NA,3405.0474,NA,NA,2,real_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,123979.0518,NA,NA,124483.81,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,124483.9572,90726.7768,123974.5522,NA,86414.6672,NA,54913.4506,127889.4215,NA,50088.4681,NA,NA,New experiment,3,32231.5249,7,1024
50,NA,50,4307,4307,#3d3846,psycho,NA,1,undefined,undefined,1,right,0,0,0,0,0,0,0,7,NA,0,7,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,7,0,7,0,0,0,0,7,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo_2,right,return,NA,return,return,NA,right,2229.8314,3482.3355,NA,4295.5865,19551.3157,NA,2229.8314,NA,NA,2,real_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,128014.1245,NA,NA,128518.8045,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,128518.9768,90726.7768,128009.7119,NA,86414.6672,NA,54913.4506,130749.5068,NA,50088.4681,NA,NA,New experiment,4,34461.3563,8,1024
55,NA,55,3915,3915,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,8,NA,0,8,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,8,0,8,0,0,0,0,8,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,GreyDenomination,left,return,NA,return,return,NA,left,779.2585,3482.3355,NA,4295.5865,19551.3157,NA,779.2585,NA,NA,2,fake_2_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,130891.8591,NA,NA,131396.1799,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,131396.3029,90726.7768,130886.837,NA,86414.6672,NA,54913.4506,132176.0143,NA,50088.4681,NA,NA,New experiment,5,35240.6148,9,1024
60,NA,60,3870,3870,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,9,NA,0,9,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,9,0,9,0,0,0,0,9,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,BadInk2,left,return,NA,return,return,NA,left,3464.9222,3482.3355,NA,4295.5865,19551.3157,NA,3464.9222,NA,NA,2,fake_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,132321.9569,NA,NA,132825.5344,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,132825.6371,90726.7768,132316.9854,NA,86414.6672,NA,54913.4506,136291.0486,NA,50088.4681,NA,NA,New experiment,6,38705.537,10,1024
63,NA,63,3874,3874,#3d3846,psycho,NA,1,undefined,undefined,1,right,0,0,0,0,0,0,0,10,NA,0,10,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,10,0,10,0,0,0,0,10,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,real,Melodramatic Milgram,4.0.5,photo_2,right,return,NA,return,return,NA,right,3908.6827,3482.3355,NA,4295.5865,19551.3157,NA,3908.6827,NA,NA,2,real_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,136395.6385,NA,NA,136899.7632,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,136899.9319,90726.7768,136391.121,NA,86414.6672,NA,54913.4506,140809.0473,NA,50088.4681,NA,NA,New experiment,7,42614.2197,11,1024
66,NA,66,3629,3629,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,11,NA,0,11,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,11,0,11,0,0,0,0,11,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,DullHologram,left,return,NA,return,return,NA,left,935.1073,3482.3355,NA,4295.5865,19551.3157,NA,935.1073,NA,NA,2,fake_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,140940.6155,NA,NA,141446.5969,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,141446.7019,90726.7768,140935.8636,NA,86414.6672,NA,54913.4506,142382.2764,NA,50088.4681,NA,NA,New experiment,8,43549.327,12,1024
69,NA,69,3407,3407,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,12,NA,0,12,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,12,0,12,0,0,0,0,12,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,DullHologram2,left,return,NA,return,return,NA,left,743.2319,3482.3355,NA,4295.5865,19551.3157,NA,743.2319,NA,NA,2,fake_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,142513.7566,NA,NA,143017.4719,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,143017.61,90726.7768,142509.4131,NA,86414.6672,NA,54913.4506,143761.2684,NA,50088.4681,NA,NA,New experiment,9,44292.5589,13,1024
71,NA,71,3216,3216,#3d3846,psycho,NA,1,undefined,undefined,1,left,0,0,0,0,0,0,0,13,NA,0,13,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,13,0,13,0,0,0,0,13,0,0,0,NA,Fri Oct 27 18:34:39 2023,50,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,PurpleDenomination3,left,return,NA,return,return,NA,left,736.2689,3482.3355,NA,4295.5865,19551.3157,NA,736.2689,NA,NA,2,fake_2_50,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,143892.7843,NA,NA,144395.9605,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,144396.0696,90726.7768,143888.6349,NA,86414.6672,NA,54913.4506,145132.8257,NA,50088.4681,NA,NA,New experiment,10,45028.8278,14,1024
66,NA,66,3104,3104,#3d3846,psycho,NA,0,undefined,undefined,0,left,0,0,0,0,0,0,0,14,NA,0,14,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,14,0,14,0,0,0,0,14,0,0,0,NA,Fri Oct 27 18:34:39 2023,20,The main experiment item,yes,CogPsy_Assignment_With_Instruction.osexp,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment,no,mono,no,18,no,white,no,Professional and Technical Occupations,yes,768,C:/Users/lukas/OneDrive/Dokumente/Uni/VU/P1/Cognitive Psych/Experiment/log_without/subject-1.csv,fake,Melodramatic Milgram,4.0.5,bottom_left,right,return,NA,return,return,NA,right,1534.1984,3482.3355,NA,4295.5865,19551.3157,NA,1534.1984,NA,NA,2,fake_1_20,1024,2,48000,-16,experiment,1,odd,50091.348,NA,37826.4876,58163.5326,NA,46724.1526,18223.9355,145247.2022,NA,NA,145751.146,86430.715,18270.7707,NA,NA,NA,NA,NA,NA,NA,NA,NA,54916.5712,NA,145751.3401,90726.7768,145242.5812,NA,86414.6672,NA,54913.4506,147286.0336,NA,50088.4681,NA,NA,New experiment,10,46563.0262,15,1024
